Index	Cell	Lineage	Branch Length	Height	Height 0.95 HPD Lo	Height 0.95 HPD Hi	Height Median	Height Range Lo	Height Range Hi	Length	Length 0.95 HPD Lo	Length 0.95 HPD Hi	Length Median	Length Range Lo	Length Range Hi	Posterior	Rate	Rate 0.95 HPD Lo	Rate 0.95 HPD Hi	Rate Median	Rate Range Lo	Rate Range Hi
59	Cell37	X.1.1.1.1.2.2.1.2.1.2.1	0.097757406244945	2.51768857732178e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.0941843320255955	0.0680720271646397	0.123640216697237	0.0945960898927392	0.0462948407797508	0.135754178041082		1.21428255371311	0.889106532627239	1.60047683200122	1.19868989235353	0.732505453455034	2.04038566224825
60	Cell38	X.1.1.1.1.1.2.2.1.2	0.0870215968117847	2.45114174267892e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.0880700544003888	0.0655686445285099	0.109790812002767	0.0876927063361447	0.0455121833230284	0.125026689443542		1.02651637298204	0.76411275649563	1.2783257478014	1.0134786581165	0.679703674059242	1.74119192532595
61	Cell39	X.1.1.1.1.2.2.2.2.1	0.086116091964102	2.49550629910749e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.0929460523944605	0.0585776413110126	0.124374414646889	0.0926793154085116	0.0462948407797508	0.151000445591356		0.989766298604301	0.685167485227467	1.28767768904827	0.984179177695433	0.543803067935607	1.54588339881069
62	Cell4	X.1.1.1.1.2.2.1.2.2.2	0.0948816832742287	2.42341389491106e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.0965165659913133	0.0702964346544862	0.127083122357998	0.0955867962258282	0.0578047286552556	0.14059617480077		0.94378480347099	0.663856998772342	1.22547232493519	0.93003507189667	0.541563879921899	1.52995372139312
63	Cell40	X.1.1.1.1.2.2.1.2.1.1.2	0.0900174710003251	2.46223288178606e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.0955897343174788	0.0687790040487858	0.129272760517024	0.0933654288415805	0.0533665056230069	0.143022742483173		1.04535818411235	0.728772000611594	1.35422871039313	1.02717338193297	0.609074351883037	1.59420814556789
64	Cell41	X.1.1.1.2.1.1.1.1	0.135806921276302	2.46777845133963e-17	0	5.55111512312578e-17	0	0	5.55111512312578e-17	0.135672093113503	0.115421158595699	0.153576820988717	0.135415516955916	0.096223627967243	0.177202319969311		0.779751741419769	0.60950128999811	0.945751009490611	0.773637102098104	0.521698981304515	1.1112028023664
65	Cell42	X.1.1.2.1.1.2	0.100861768488457	2.47886959044678e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.101483349806353	0.0751274836099464	0.131279398812388	0.100434409176651	0.0602665233784678	0.150327851900347		0.924727698342058	0.676651082935742	1.20999759888185	0.914741816591088	0.521496524039894	1.47799326169216
66	Cell43	X.1.1.1.1.2.1.2.2	0.104060678537734	2.46223288178606e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.104060678537734	0.0749798735900082	0.129998707044207	0.104090369043557	0.0630551432850807	0.160564859443825		0.927237945841351	0.684431814897757	1.20410084520864	0.91909405487631	0.624490768281686	1.471437285272
67	Cell44	X.1.1.2.2.2.2.2.2.1	0.0953417613014767	2.41232275580391e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.104657640678444	0.0725173947287416	0.137180755478522	0.104953588845099	0.0438254676401331	0.158761780197508		1.08962965419351	0.810621020472968	1.39595546244035	1.0753612497048	0.678728731015323	1.63057047327517
68	Cell45	X.1.1.2.1.2.2.2	0.103394934514377	2.46223288178606e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.105340995679659	0.0804507975761942	0.132474495743425	0.10461133068983	0.0686747659604418	0.160420723512219		0.968421827747344	0.699460786060506	1.22014375214525	0.957538378879724	0.603447104895314	1.56166391368316
